frame_dir,label,recording_type,source_group,split
backhand_drive/match/001,0,match,match_01,train
backhand_drive/match/002,0,match,match_01,train
backhand_drive/match/003,0,match,match_01,train
backhand_drive/match/004,0,match,match_01,train
backhand_drive/match/005,0,match,match_01,train
backhand_drive/match/006,0,match,match_01,train
backhand_drive/match/007,0,match,match_01,train
backhand_drive/match/008,0,match,match_01,train
backhand_drive/match/009,0,match,match_01,train
backhand_drive/match/010,0,match,match_01,train
backhand_drive/match/011,0,match,match_01,train
backhand_drive/match/012,0,match,match_01,train
backhand_drive/match/013,0,match,match_01,train
backhand_drive/match/014,0,match,match_01,train
backhand_drive/match/015,0,match,match_01,train
backhand_drive/match/016,0,match,match_01,train
backhand_drive/match/017,0,match,match_01,train
backhand_drive/match/018,0,match,match_01,train
backhand_drive/match/019,0,match,match_01,train
backhand_drive/match/020,0,match,match_01,train
backhand_drive/match/021,0,match,match_01,train
backhand_drive/match/022,0,match,match_01,train
backhand_drive/match/023,0,match,match_01,train
backhand_drive/match/024,0,match,match_01,train
backhand_drive/match/025,0,match,match_01,train
backhand_drive/match/026,0,match,match_01,train
backhand_drive/match/027,0,match,match_01,train
backhand_drive/match/028,0,match,match_01,train
backhand_drive/match/029,0,match,match_01,train
backhand_drive/match/030,0,match,match_01,train
backhand_drive/match/031,0,match,match_01,train
backhand_drive/match/032,0,match,match_01,train
backhand_drive/match/033,0,match,match_01,train
backhand_drive/match/034,0,match,match_01,train
backhand_drive/match/035,0,match,match_01,train
backhand_drive/match/036,0,match,match_01,train
backhand_drive/match/037,0,match,match_01,train
backhand_drive/match/038,0,match,match_01,train
backhand_drive/match/039,0,match,match_01,train
backhand_drive/match/040,0,match,match_01,train
backhand_drive/match/041,0,match,match_01,train
backhand_drive/match/042,0,match,match_01,train
backhand_drive/match/043,0,match,match_01,train
backhand_drive/match/044,0,match,match_01,train
backhand_drive/match/045,0,match,match_01,train
backhand_drive/match/046,0,match,match_01,train
backhand_drive/match/047,0,match,match_01,train
backhand_drive/match/048,0,match,match_01,train
backhand_drive/match/049,0,match,match_01,train
backhand_drive/match/050,0,match,match_01,train
backhand_drive/match/051,0,match,match_01,train
backhand_drive/match/052,0,match,match_01,train
backhand_drive/match/053,0,match,match_01,train
backhand_drive/match/054,0,match,match_01,train
backhand_drive/match/055,0,match,match_01,train
backhand_drive/match/056,0,match,match_01,train
backhand_drive/match/057,0,match,match_01,train
backhand_drive/match/058,0,match,match_01,train
backhand_drive/match/059,0,match,match_01,train
backhand_drive/match/060,0,match,match_01,train
backhand_drive/match/061,0,match,match_01,train
backhand_drive/match/062,0,match,match_01,train
backhand_drive/match/063,0,match,match_01,train
backhand_drive/match/064,0,match,match_01,train
backhand_drive/match/065,0,match,match_01,train
backhand_drive/match/066,0,match,match_01,train
backhand_drive/match/067,0,match,match_01,train
backhand_drive/match/068,0,match,match_01,train
backhand_drive/match/069,0,match,match_01,train
backhand_drive/match/070,0,match,match_01,train
backhand_drive/match/071,0,match,match_01,val
backhand_drive/match/072,0,match,match_01,val
backhand_drive/match/073,0,match,match_01,val
backhand_drive/match/074,0,match,match_01,val
backhand_drive/match/075,0,match,match_01,val
backhand_drive/match/076,0,match,match_01,val
backhand_drive/match/077,0,match,match_01,val
backhand_drive/match/078,0,match,match_01,val
backhand_drive/match/079,0,match,match_01,val
backhand_drive/match/080,0,match,match_01,val
backhand_drive/match/081,0,match,match_01,val
backhand_drive/match/082,0,match,match_01,val
backhand_drive/match/083,0,match,match_01,val
backhand_drive/match/084,0,match,match_01,val
backhand_drive/match/085,0,match,match_01,val
backhand_drive/match/086,0,match,match_01,test
backhand_drive/match/087,0,match,match_01,test
backhand_drive/match/088,0,match,match_01,test
backhand_drive/match/089,0,match,match_01,test
backhand_drive/match/090,0,match,match_01,test
backhand_drive/match/091,0,match,match_01,test
backhand_drive/match/092,0,match,match_01,test
backhand_drive/match/093,0,match,match_01,test
backhand_drive/match/094,0,match,match_01,test
backhand_drive/match/095,0,match,match_01,test
backhand_drive/match/096,0,match,match_01,test
backhand_drive/match/097,0,match,match_01,test
backhand_drive/match/098,0,match,match_01,test
backhand_drive/match/099,0,match,match_01,test
backhand_drive/match/100,0,match,match_01,test
backhand_drive/single_player/backhand_drive (1),0,single_player,backhand_drive/single_player/backhand_drive (1),train
backhand_drive/single_player/backhand_drive (2),0,single_player,backhand_drive/single_player/backhand_drive (2),train
backhand_drive/single_player/backhand_drive (3),0,single_player,backhand_drive/single_player/backhand_drive (3),train
backhand_drive/single_player/backhand_drive (4),0,single_player,backhand_drive/single_player/backhand_drive (4),train
backhand_drive/single_player/backhand_drive (5),0,single_player,backhand_drive/single_player/backhand_drive (5),train
backhand_drive/single_player/backhand_drive (6),0,single_player,backhand_drive/single_player/backhand_drive (6),train
backhand_drive/single_player/backhand_drive (7),0,single_player,backhand_drive/single_player/backhand_drive (7),train
backhand_drive/single_player/backhand_drive (8),0,single_player,backhand_drive/single_player/backhand_drive (8),train
backhand_drive/single_player/backhand_drive (9),0,single_player,backhand_drive/single_player/backhand_drive (9),val
backhand_drive/single_player/backhand_drive (10),0,single_player,backhand_drive/single_player/backhand_drive (10),val
backhand_drive/single_player/backhand_drive (11),0,single_player,backhand_drive/single_player/backhand_drive (11),test
forehand_lift/match/001,1,match,match_01,train
forehand_lift/match/002,1,match,match_01,train
forehand_lift/match/003,1,match,match_01,train
forehand_lift/match/004,1,match,match_01,train
forehand_lift/match/005,1,match,match_01,train
forehand_lift/match/006,1,match,match_01,train
forehand_lift/match/007,1,match,match_01,train
forehand_lift/match/008,1,match,match_01,train
forehand_lift/match/009,1,match,match_01,train
forehand_lift/match/010,1,match,match_01,train
forehand_lift/match/011,1,match,match_01,train
forehand_lift/match/012,1,match,match_01,train
forehand_lift/match/013,1,match,match_01,train
forehand_lift/match/014,1,match,match_01,train
forehand_lift/match/015,1,match,match_01,train
forehand_lift/match/016,1,match,match_01,train
forehand_lift/match/017,1,match,match_01,train
forehand_lift/match/018,1,match,match_01,train
forehand_lift/match/019,1,match,match_01,train
forehand_lift/match/020,1,match,match_01,train
forehand_lift/match/021,1,match,match_01,train
forehand_lift/match/022,1,match,match_01,train
forehand_lift/match/023,1,match,match_01,train
forehand_lift/match/024,1,match,match_01,train
forehand_lift/match/025,1,match,match_01,train
forehand_lift/match/026,1,match,match_01,train
forehand_lift/match/027,1,match,match_01,train
forehand_lift/match/028,1,match,match_01,train
forehand_lift/match/029,1,match,match_01,train
