frame_dir,label,recording_type,source_group,split
backhand_drive/single_player/001_videoplayback_01,0,single_player,backhand_drive/single_player/001_videoplayback,val
backhand_drive/single_player/001_videoplayback_02,0,single_player,backhand_drive/single_player/001_videoplayback,val
backhand_drive/single_player/001_videoplayback_03,0,single_player,backhand_drive/single_player/001_videoplayback,val
backhand_drive/single_player/002_backhand_dive2_01,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_02,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_03,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_04,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_05,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_06,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_07,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/002_backhand_dive2_08,0,single_player,backhand_drive/single_player/002_backhand_dive2,train
backhand_drive/single_player/003_backhanddive3_01,0,single_player,backhand_drive/single_player/003_backhanddive3,train
backhand_drive/single_player/003_backhanddive3_02,0,single_player,backhand_drive/single_player/003_backhanddive3,train
backhand_drive/single_player/003_backhanddive3_03,0,single_player,backhand_drive/single_player/003_backhanddive3,train
backhand_drive/single_player/004_backhandDrive4_01,0,single_player,backhand_drive/single_player/004_backhandDrive4,train
backhand_drive/single_player/004_backhandDrive4_02,0,single_player,backhand_drive/single_player/004_backhandDrive4,train
backhand_drive/single_player/004_backhandDrive4_03,0,single_player,backhand_drive/single_player/004_backhandDrive4,train
backhand_drive/single_player/004_backhandDrive4_04,0,single_player,backhand_drive/single_player/004_backhandDrive4,train
backhand_drive/single_player/004_backhandDrive4_05,0,single_player,backhand_drive/single_player/004_backhandDrive4,train
backhand_drive/single_player/004_backhandDrive4_06,0,single_player,backhand_drive/single_player/004_backhandDrive4,train
