frame_dir,class,label,view,subject,split,total_frames,detected_ratio,mean_confidence
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01,backhand_drive,0,front,Sub08,train,136,1.000000,0.773757
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.01.33.104-00.01.38.703-seg02,backhand_drive,0,front,Sub08,train,173,1.000000,0.780615
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.02.07.156-00.02.09.464-seg03,backhand_drive,0,front,Sub08,train,75,1.000000,0.758833
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.03.04.134-00.03.07.933-seg04,backhand_drive,0,front,Sub08,train,119,1.000000,0.750309
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05,backhand_drive,0,front,Sub08,train,106,1.000000,0.796847
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06,backhand_drive,0,front,Sub08,train,82,1.000000,0.762767
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.04.04.035-00.04.06.558-seg07,backhand_drive,0,front,Sub08,train,78,1.000000,0.778238
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.10.05.338-00.10.08.235-seg08,backhand_drive,0,front,Sub08,train,99,1.000000,0.760409
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09,backhand_drive,0,front,Sub08,train,99,1.000000,0.768779
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.12.59.529-00.13.03.047-seg10,backhand_drive,0,front,Sub08,train,123,1.000000,0.754836
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.14.00.480-00.14.03.575-seg11,backhand_drive,0,front,Sub08,train,109,1.000000,0.745863
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.14.53.515-00.14.56.833-seg12,backhand_drive,0,front,Sub08,train,116,1.000000,0.751369
train/backhand_drive/front/Sub08/Backhand Drive Front Video-00.15.43.602-00.15.48.203-seg13,backhand_drive,0,front,Sub08,train,157,1.000000,0.744764
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.00.31.485-00.00.34.265-seg01,backhand_drive,0,front,Sub09,train,99,1.000000,0.618839
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.00.44.977-00.00.48.056-seg02,backhand_drive,0,front,Sub09,train,123,1.000000,0.603222
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03,backhand_drive,0,front,Sub09,train,112,1.000000,0.631338
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.01.20.890-00.01.23.563-seg04,backhand_drive,0,front,Sub09,train,108,1.000000,0.653777
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.01.45.416-00.01.48.205-seg05,backhand_drive,0,front,Sub09,train,98,1.000000,0.661477
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.02.09.245-00.02.12.232-seg06,backhand_drive,0,front,Sub09,train,93,1.000000,0.672029
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.02.21.822-00.02.23.843-seg07,backhand_drive,0,front,Sub09,train,82,1.000000,0.671778
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08,backhand_drive,0,front,Sub09,train,81,1.000000,0.681059
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.03.25.494-00.03.28.513-seg09,backhand_drive,0,front,Sub09,train,97,1.000000,0.651083
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.04.07.285-00.04.10.411-seg10,backhand_drive,0,front,Sub09,train,106,1.000000,0.643394
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.04.32.651-00.04.35.757-seg11,backhand_drive,0,front,Sub09,train,116,1.000000,0.639900
train/backhand_drive/front/Sub09/Backhand Drive Front Video-00.05.48.945-00.05.52.264-seg12,backhand_drive,0,front,Sub09,train,118,1.000000,0.659624
train/backhand_drive/front/Sub11/Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09,backhand_drive,0,front,Sub11,train,93,0.849462,0.506042
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.00.12.278-00.00.15.766-seg01,backhand_drive,0,front,Sub12,train,114,0.894737,0.500168
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.00.43.647-00.00.49.456-seg04,backhand_drive,0,front,Sub12,train,195,0.958974,0.563637
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.00.52.216-00.00.56.104-seg05,backhand_drive,0,front,Sub12,train,125,0.800000,0.485489
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.00.58.763-00.01.02.731-seg06,backhand_drive,0,front,Sub12,train,143,0.832168,0.423320
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.01.05.555-00.01.09.027-seg07,backhand_drive,0,front,Sub12,train,122,0.893443,0.442499
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.00.089-00.02.03.247-seg08,backhand_drive,0,front,Sub12,train,117,0.931624,0.498829
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.06.426-00.02.09.452-seg09,backhand_drive,0,front,Sub12,train,93,0.935484,0.538979
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.12.184-00.02.15.488-seg10,backhand_drive,0,front,Sub12,train,124,0.838710,0.476359
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11,backhand_drive,0,front,Sub12,train,133,0.872180,0.534769
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.25.156-00.02.28.640-seg12,backhand_drive,0,front,Sub12,train,126,0.888889,0.509545
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.31.991-00.02.35.287-seg13,backhand_drive,0,front,Sub12,train,115,0.904348,0.476116
train/backhand_drive/front/Sub12/Backhand Drive Front Video-00.02.38.839-00.02.41.766-seg14,backhand_drive,0,front,Sub12,train,99,0.818182,0.436560
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.00.19.690-00.00.24.571-seg01,backhand_drive,0,front,Sub13,train,169,0.869822,0.571872
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.00.27.556-00.00.30.403-seg02,backhand_drive,0,front,Sub13,train,104,1.000000,0.657030
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03,backhand_drive,0,front,Sub13,train,118,1.000000,0.664726
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04,backhand_drive,0,front,Sub13,train,112,1.000000,0.689280
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.00.50.310-00.00.54.525-seg05,backhand_drive,0,front,Sub13,train,137,0.963504,0.673850
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06,backhand_drive,0,front,Sub13,train,127,1.000000,0.713455
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.01.09.922-00.01.13.075-seg07,backhand_drive,0,front,Sub13,train,124,1.000000,0.691894
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.01.15.993-00.01.19.418-seg08,backhand_drive,0,front,Sub13,train,134,1.000000,0.711786
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10,backhand_drive,0,front,Sub13,train,97,1.000000,0.645496
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11,backhand_drive,0,front,Sub13,train,113,1.000000,0.702919
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.01.45.697-00.01.50.386-seg12,backhand_drive,0,front,Sub13,train,163,0.828221,0.570994
train/backhand_drive/front/Sub13/Backhand Drive Front Video-00.02.08.821-00.02.11.669-seg13,backhand_drive,0,front,Sub13,train,112,0.991071,0.623764
