frame_dir,class,label,subject,split
background/front/Sub11/Sub11_backhand_drive_front_gap_002_background,background,0,Sub11,train
background/front/Sub11/Sub11_backhand_drive_front_gap_003_background,background,0,Sub11,train
background/front/Sub11/Sub11_backhand_drive_front_gap_005_background,background,0,Sub11,train
background/front/Sub11/Sub11_backhand_drive_front_gap_012_background,background,0,Sub11,train
background/front/Sub11/Sub11_forehand_clear_front_gap_002_background,background,0,Sub11,train
background/front/Sub11/Sub11_forehand_clear_front_gap_003_background,background,0,Sub11,train
background/front/Sub11/Sub11_forehand_clear_front_gap_007_background,background,0,Sub11,train
background/front/Sub11/Sub11_forehand_clear_front_gap_009_background,background,0,Sub11,train
background/front/Sub11/Sub11_forehand_clear_front_gap_010_background,background,0,Sub11,train
background/front/Sub11/Sub11_forehand_clear_front_gap_012_background,background,0,Sub11,train
background/front/Sub19/Sub19_backhand_drive_front_gap_004_background,background,0,Sub19,train
background/front/Sub19/Sub19_backhand_drive_front_gap_005_background,background,0,Sub19,train
background/front/Sub19/Sub19_backhand_drive_front_gap_006_background,background,0,Sub19,train
background/front/Sub19/Sub19_backhand_drive_front_gap_007_background,background,0,Sub19,train
background/front/Sub19/Sub19_backhand_drive_front_gap_008_background,background,0,Sub19,train
background/front/Sub19/Sub19_backhand_drive_front_gap_009_background,background,0,Sub19,train
background/front/Sub19/Sub19_backhand_drive_front_gap_010_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_001_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_004_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_005_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_008_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_009_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_010_background,background,0,Sub19,train
background/front/Sub19/Sub19_forehand_clear_front_gap_011_background,background,0,Sub19,train
background/front/Sub20/Sub20_backhand_drive_front_gap_001_background,background,0,Sub20,val
background/front/Sub20/Sub20_backhand_drive_front_gap_002_background,background,0,Sub20,val
background/front/Sub20/Sub20_backhand_drive_front_gap_006_background,background,0,Sub20,val
background/front/Sub20/Sub20_backhand_drive_front_gap_008_background,background,0,Sub20,val
