sample_id,split,match_id,set_id,rally,ball_round,hit_frame,player_side,raw_label,coarse_label,stroke_side,stroke_side_source,flaw,valid_stroke_side,valid_coarse_label,joints_path,position_path,shuttle_path,annotation_path,video_name,video_url
39_1_10_1,test,39,1,10,1,18091,top,發短球,serve,backhand,backhand=1.0,,True,True,test/Top_發短球/39_1_10_1_joints.npy,test/Top_發短球/39_1_10_1_pos.npy,test/Top_發短球/39_1_10_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_10_2,test,39,1,10,2,18112,bottom,推球,net_attack,forehand,both_flags_blank,,True,True,test/Bottom_推球/39_1_10_2_joints.npy,test/Bottom_推球/39_1_10_2_pos.npy,test/Bottom_推球/39_1_10_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_10_3,test,39,1,10,3,18146,top,過渡切球,drop,forehand,both_flags_blank,,True,True,test/Top_切球/39_1_10_3_joints.npy,test/Top_切球/39_1_10_3_pos.npy,test/Top_切球/39_1_10_3_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_10_4,test,39,1,10,4,18166,bottom,推球,net_attack,backhand,backhand=1.0,,True,True,test/Bottom_推球/39_1_10_4_joints.npy,test/Bottom_推球/39_1_10_4_pos.npy,test/Bottom_推球/39_1_10_4_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_10_5,test,39,1,10,5,18189,top,切球,drop,forehand,both_flags_blank,,True,True,test/Top_切球/39_1_10_5_joints.npy,test/Top_切球/39_1_10_5_pos.npy,test/Top_切球/39_1_10_5_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_1,test,39,1,11,1,18718,top,發短球,serve,forehand,both_flags_blank,1.0,False,False,test/Top_發短球/39_1_11_1_joints.npy,test/Top_發短球/39_1_11_1_pos.npy,test/Top_發短球/39_1_11_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_10,test,39,1,11,10,18944,bottom,撲球,net_attack,forehand,both_flags_blank,,True,True,test/Bottom_撲球/39_1_11_10_joints.npy,test/Bottom_撲球/39_1_11_10_pos.npy,test/Bottom_撲球/39_1_11_10_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_2,test,39,1,11,2,18734,bottom,挑球,lift,forehand,both_flags_blank,,True,True,test/Bottom_挑球/39_1_11_2_joints.npy,test/Bottom_挑球/39_1_11_2_pos.npy,test/Bottom_挑球/39_1_11_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_3,test,39,1,11,3,18766,top,殺球,smash,aroundhead,aroundhead=1.0,,True,True,test/Top_殺球/39_1_11_3_joints.npy,test/Top_殺球/39_1_11_3_pos.npy,test/Top_殺球/39_1_11_3_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_4,test,39,1,11,4,18781,bottom,擋小球,net_shot,forehand,both_flags_blank,,True,True,test/Bottom_擋小球/39_1_11_4_joints.npy,test/Bottom_擋小球/39_1_11_4_pos.npy,test/Bottom_擋小球/39_1_11_4_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
