sample_id,dataset,split,match_id,set_id,rally,ball_round,video_path,start_frame,hit_frame,end_frame,fps,player_side,raw_label,coarse_label,stroke_side,annotation_path
39_1_10_1,shuttleset,test,39,1,10,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18061,18091,18121,30.0,top,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_10_2,shuttleset,test,39,1,10,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18082,18112,18142,30.0,bottom,推球,net_attack,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_10_3,shuttleset,test,39,1,10,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18116,18146,18176,30.0,top,過渡切球,drop,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_10_4,shuttleset,test,39,1,10,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18136,18166,18196,30.0,bottom,推球,net_attack,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_10_5,shuttleset,test,39,1,10,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18159,18189,18219,30.0,top,切球,drop,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_10,shuttleset,test,39,1,11,10,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18914,18944,18974,30.0,bottom,撲球,net_attack,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_2,shuttleset,test,39,1,11,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18704,18734,18764,30.0,bottom,挑球,lift,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_3,shuttleset,test,39,1,11,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18736,18766,18796,30.0,top,殺球,smash,aroundhead,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_4,shuttleset,test,39,1,11,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18751,18781,18811,30.0,bottom,擋小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_5,shuttleset,test,39,1,11,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18782,18812,18842,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
