match_id,split,status,match_score,match_method,local_video_path,expected_video_name,expected_url,width,height,expected_width,expected_height,resolution_ok,fps,duration_seconds,codec
1,train,ok,1.0,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,https://www.youtube.com/watch?v=O669aZhH0LI,1280,720,1280,720,True,25.0,6175.72,h264
2,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\2 CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage.mp4,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,https://www.youtube.com/watch?v=-aOI9_JxoWc,1280,720,1280,720,True,25.0,3816.68,h264
3,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\3 Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final.mp4,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,https://www.youtube.com/watch?v=eugfCRwSBJo,1280,720,1280,720,True,25.0,4316.04,h264
4,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\4 CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal.mp4,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,https://www.youtube.com/watch?v=y6QbtrTV-K0,1280,720,1280,720,True,25.0,4139.04,h264
5,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\5 Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals.mp4.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,https://www.youtube.com/watch?v=xhUi2KpmVkI,1280,720,1280,720,True,25.0,5151.2,h264
6,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\6 Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,https://www.youtube.com/watch?v=SYyvDrUgClc,1280,720,1280,720,True,25.0,6052.04,h264
7,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\7 Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,https://www.youtube.com/watch?v=Y0tCJ6DWXKM,1280,720,1280,720,True,25.0,4093.16,h264
8,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\8 CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals.mp4,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,https://www.youtube.com/watch?v=32j2Tg64Zbg,1280,720,1280,720,True,25.0,3436.84,h264
11,train,review,1.0,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals.mp4,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,https://www.youtube.com/watch?v=yD6WKVqsAKc,1280,720,854,480,False,25.0,5223.24,h264
13,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\13 Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals.mp4,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,https://www.youtube.com/watch?v=boQC4J4E1ZQ,1280,720,1280,720,True,25.0,4550.04,h264
14,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\14 Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals.mp4,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,https://www.youtube.com/watch?v=5W6txLGZ1Rs,1280,720,1280,720,True,25.0,4837.56,h264
15,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\15 Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final.mp4,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,https://www.youtube.com/watch?v=yu9oyMXRGHY,1280,720,1280,720,True,25.0,5979.48,h264
16,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\16 Anthony_Sinisuka_GINTING_Viktor_AXELSEN_Indonesia_Masters_2020_SemiFinals.mp4,Anthony_Sinisuka_GINTING_Viktor_AXELSEN_Indonesia_Masters_2020_SemiFinals,https://www.youtube.com/watch?v=5kS_a7vS5xI,1280,720,1280,720,True,25.0,3681.6,h264
17,train,review,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\17 NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals.mp4,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,https://www.youtube.com/watch?v=G9r400zkkz8,1280,720,854,480,False,25.0,4429.08,h264
18,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\18 Viktor_AXELSEN_SHI_Yu_Qi_All_England_Open_2020_QuarterFinals.mp4,Viktor_AXELSEN_SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,https://www.youtube.com/watch?v=8lHAsyRhYYQ,1280,720,1280,720,True,25.0,3012.2,h264
19,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\19 Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals.mp4,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,https://www.youtube.com/watch?v=YmW83aQFADg,1280,720,1280,720,True,25.0,4834.56,h264
20,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\20 Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals.mp4,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,https://www.youtube.com/watch?v=4e3JJ4rvT3Q,1280,720,1280,720,True,25.0,3266.0,h264
21,train,review,0.6402,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 4 An Se Young (KOR) [7] vs. Ratchanok Intanon (THA) [4].mp4,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=gloiZ_gTJaE,1280,720,1280,720,True,30.0,3345.113,h264
22,train,ok,0.7037,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 4 Busanan Ongbamrungphan (THA) vs. Mia Blichfeldt (DEN).mp4,Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=8u_UHCnYSkk,1280,720,1280,720,True,30.0,3363.248,h264
23,train,review,0.6163,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 4 Ng Ka Long Angus (HKG) [7] vs. Lee Cheuk Yiu (HKG).mp4,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=rSK9Qx8LapE,1280,720,1280,720,True,30.0,3235.051,h264
24,train,review,0.6276,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 4 Rasmus Gemke (DEN) vs. Anthony Sinisuka Ginting (INA) [5].mp4,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=NlDrJyQUTSI,1280,720,1280,720,True,30.0,4495.058,h264
25,train,ok,0.7076,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 4 Carolina Marin (ESP) [5] vs. Supanida Katethong (THA).mp4,Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=FZPrpoGdyHI,1280,720,1280,720,True,30.0,3149.81,h264
26,train,review,0.6419,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 4 Viktor Axelsen (DEN) [4] vs. Jonatan Christie (INA) [6].mp4,Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=RRI_k2KZgOM,1280,720,1280,720,True,30.0,3035.057,h264
28,train,review,0.6287,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\YONEX Thailand Open   Day 6 Ng Ka Long Angus (HKG) [7] vs. Viktor Axelsen (DEN) [4].mp4,Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,https://www.youtube.com/watch?v=IuXmsimDOW8,1280,720,1280,720,True,30.0,3820.077,h264
