match_id,split,npy_samples,required_for_bst_split,downloaded,local_video_path,expected_filename,video_name,tournament,round,duration_minutes,winner,loser,url
1,train,1643,True,False,,1 Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,Fuzhou Open 2019,Finals,83,Kento MOMOTA,CHOU Tien Chen,https://www.youtube.com/watch?v=O669aZhH0LI
2,train,860,True,False,,2 CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage.mp4,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,World Tour Finals,Group-Stage,52,CHEN Long,CHOU Tien Chen,https://www.youtube.com/watch?v=-aOI9_JxoWc
3,train,926,True,False,,3 Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final.mp4,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,KOREA OPEN 2019,Finals,53,Kento MOMOTA,CHOU Tien Chen,https://www.youtube.com/watch?v=eugfCRwSBJo
4,train,818,True,False,,4 CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal.mp4,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,Denmark Open 2019,Quarter-finals,54,CHEN Long,CHOU Tien Chen,https://www.youtube.com/watch?v=y6QbtrTV-K0
5,train,1165,True,False,,5 Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,Fuzhou Open 2018,Finals,67,Kento MOMOTA,CHOU Tien Chen,https://www.youtube.com/watch?v=xhUi2KpmVkI
6,train,1311,True,False,,6 Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,Denmark Open 2018,Finals,77,Kento MOMOTA,CHOU Tien Chen,https://www.youtube.com/watch?v=SYyvDrUgClc
7,train,970,True,False,,7 Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals.mp4,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,Malaysia Open 2018,Quarter-finals,53,Kento MOMOTA,CHOU Tien Chen,https://www.youtube.com/watch?v=Y0tCJ6DWXKM
8,train,704,True,False,,8 CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals.mp4,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,Fuzhou Open 2019,Semi-finals,45,CHOU Tien Chen,Anders ANTONSEN,https://www.youtube.com/watch?v=32j2Tg64Zbg
9,excluded,0,False,False,,9 CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals.mp4,CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,Sudirman Cup 2019,Quarter-finals,36,CHOU Tien Chen,Jonatan CHRISTIE,https://www.youtube.com/watch?v=8E98Gpk-fOM
10,excluded,0,False,False,,10 CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage.mp4,CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,Sudirman Cup 2019,Group-Stage,41,CHOU Tien Chen,NG Ka Long Angus,https://www.youtube.com/watch?v=li1sbr6S34g
