source_video,output_video,output_pose,split,class,view,subject,source_start_frame,source_end_frame,motion_peak_frame,peak_position,output_frames
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01__motion_onset.npz,train,backhand_drive,front,Sub08,34,82,47,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05__motion_onset.npz,train,backhand_drive,front,Sub08,29,77,48,0.3958333333333333,64
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06__motion_onset.npz,train,backhand_drive,front,Sub08,9,57,27,0.375,64
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09__motion_onset.npz,train,backhand_drive,front,Sub08,20,68,31,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03__motion_onset.npz,train,backhand_drive,front,Sub09,39,87,52,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.01.45.416-00.01.48.205-seg05.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.01.45.416-00.01.48.205-seg05__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.01.45.416-00.01.48.205-seg05__motion_onset.npz,train,backhand_drive,front,Sub09,0,48,5,0.10416666666666667,64
data\manual_clips\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08__motion_onset.npz,train,backhand_drive,front,Sub09,6,54,24,0.375,64
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.02.13.990-00.02.16.642-seg03.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.02.13.990-00.02.16.642-seg03__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.02.13.990-00.02.16.642-seg03__motion_onset.npz,train,backhand_drive,front,Sub11,0,48,12,0.25,64
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09__motion_onset.npz,train,backhand_drive,front,Sub11,23,71,35,0.25,64
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.06.11.117-00.06.14.026-seg11.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.06.11.117-00.06.14.026-seg11__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.06.11.117-00.06.14.026-seg11__motion_onset.npz,train,backhand_drive,front,Sub11,18,66,29,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.07.10.201-00.07.12.919-seg13.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.07.10.201-00.07.12.919-seg13__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.07.10.201-00.07.12.919-seg13__motion_onset.npz,train,backhand_drive,front,Sub11,15,63,27,0.25,64
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.00.12.278-00.00.15.766-seg01.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.00.12.278-00.00.15.766-seg01__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.00.12.278-00.00.15.766-seg01__motion_onset.npz,train,backhand_drive,front,Sub12,0,48,13,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11__motion_onset.npz,train,backhand_drive,front,Sub12,52,100,63,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.25.156-00.02.28.640-seg12.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.25.156-00.02.28.640-seg12__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.25.156-00.02.28.640-seg12__motion_onset.npz,train,backhand_drive,front,Sub12,0,48,10,0.20833333333333334,64
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.03.08.151-00.03.11.590-seg18.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.03.08.151-00.03.11.590-seg18__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.03.08.151-00.03.11.590-seg18__motion_onset.npz,train,backhand_drive,front,Sub12,54,102,65,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03__motion_onset.npz,train,backhand_drive,front,Sub13,38,86,50,0.25,64
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04__motion_onset.npz,train,backhand_drive,front,Sub13,41,89,52,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06__motion_onset.npz,train,backhand_drive,front,Sub13,51,99,64,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10__motion_onset.npz,train,backhand_drive,front,Sub13,30,78,40,0.20833333333333334,64
