source_video,output_video,output_pose,split,class,view,subject,source_frames,start_frame,motion_peak_frame,output_frames,peak_position_in_output
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.00.25.950-00.00.29.497-seg01__start_at_swing.npz,train,backhand_drive,front,Sub08,136,44,47,92,0.03296703296703297
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.04.134-00.03.07.933-seg04.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.04.134-00.03.07.933-seg04__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.04.134-00.03.07.933-seg04__start_at_swing.npz,train,backhand_drive,front,Sub08,119,58,61,61,0.05
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.30.513-00.03.33.471-seg05__start_at_swing.npz,train,backhand_drive,front,Sub08,106,45,48,61,0.05
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.03.44.052-00.03.46.684-seg06__start_at_swing.npz,train,backhand_drive,front,Sub08,82,24,27,58,0.05263157894736842
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.04.04.035-00.04.06.558-seg07.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.04.04.035-00.04.06.558-seg07__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.04.04.035-00.04.06.558-seg07__start_at_swing.npz,train,backhand_drive,front,Sub08,78,25,28,53,0.057692307692307696
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.05.338-00.10.08.235-seg08.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.05.338-00.10.08.235-seg08__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.05.338-00.10.08.235-seg08__start_at_swing.npz,train,backhand_drive,front,Sub08,99,46,49,53,0.057692307692307696
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.10.17.024-00.10.20.256-seg09__start_at_swing.npz,train,backhand_drive,front,Sub08,99,28,31,71,0.04285714285714286
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.14.00.480-00.14.03.575-seg11.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.14.00.480-00.14.03.575-seg11__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.14.00.480-00.14.03.575-seg11__start_at_swing.npz,train,backhand_drive,front,Sub08,109,46,49,63,0.04838709677419355
data\manual_clips\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.14.53.515-00.14.56.833-seg12.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.14.53.515-00.14.56.833-seg12__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub08\Backhand Drive Front Video-00.14.53.515-00.14.56.833-seg12__start_at_swing.npz,train,backhand_drive,front,Sub08,116,58,61,58,0.05263157894736842
data\manual_clips\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.31.485-00.00.34.265-seg01.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.31.485-00.00.34.265-seg01__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.31.485-00.00.34.265-seg01__start_at_swing.npz,train,backhand_drive,front,Sub09,99,27,30,72,0.04225352112676056
